"Lower" "Upper"
"SRR11904316" 2018.66575342466 2018.66575342466
"SRR16644429" 2019.66301369863 2019.74794520548
"SRR16999417" 2019.91506849315 2019.99726027397
"SRR16999419" 2019.91506849315 2019.99726027397
"SRR16999732" 2019.8301369863 2019.91506849315
"SRR11904644" 2018.66575342466 2018.66575342466
"SRR16644511" 2019.41369863014 2019.49589041096
"SRR16999506" 2019.74794520548 2019.8301369863
"SRR16999691" 2019.91506849315 2019.99726027397
"SRR16999525" 2019.66301369863 2019.74794520548
"SRR11904799" 2018.91780821918 2018.91780821918
"SRR11904114" 2018.16438356164 2018.16438356164
"SRR11904057" 2018.24931506849 2018.24931506849
"SRR11904063" 2018.00273972603 2018.00273972603
"SRR16644385" 2019.32876712329 2019.41369863014
"SRR11904643" 2018.66575342466 2018.66575342466
"SRR9985725" 2017 2018
"SRR11724948" 2019.41369863014 2019.49589041096
"SRR16999308" 2019.16164383562 2019.24657534247
"SRR16644586" 2019.24657534247 2019.32876712329
"SRR11904410" 2018.58356164384 2018.58356164384
"SRR11904616" 2018.83287671233 2018.83287671233
"SRR16644227" 2019.24657534247 2019.32876712329
"SRR11728101" 2019.8301369863 2019.91506849315
"SRR16644582" 2019.24657534247 2019.32876712329
"SRR16999632" 2019.58082191781 2019.66301369863
"SRR16999444" 2019.91506849315 2019.99726027397
"SRR16999425" 2019.8301369863 2019.91506849315
"SRR11724905" 2019.49589041096 2019.58082191781
"SRR9877721" 2018.58356164384 2018.58356164384
"SRR9878047" 2018.75068493151 2018.75068493151
"SRR11698467" 2019.32876712329 2019.41369863014
"SRR11698877" 2019.24657534247 2019.32876712329
"SRR11724766" 2019.66301369863 2019.74794520548
"SRR9877930" 2018.66575342466 2018.66575342466
"SRR11699111" 2019.16164383562 2019.24657534247
"SRR9878055" 2018.91780821918 2018.91780821918
"SRR9985693" 2017 2018
"SRR11904289" 2018.75068493151 2018.75068493151
"SRR16644144" 2019 2019.08493150685
"SRR11904646" 2018.66575342466 2018.66575342466
"SRR11904907" 2018.83287671233 2018.83287671233
"SRR11904658" 2018.41643835616 2018.41643835616
"SRR11904899" 2018.83287671233 2018.83287671233
"SRR11904130" 2018.08767123288 2018.08767123288
"SRR16999362" 2019.74794520548 2019.8301369863
"SRR16999650" 2019.91506849315 2019.99726027397
"SRR16644361" 2019 2019.08493150685
"SRR16999321" 2019.58082191781 2019.66301369863
"SRR16999472" 2019.8301369863 2019.91506849315
"SRR9985908" 2017 2018
"SRR11904008" 2018.00273972603 2018.00273972603
"SRR11904015" 2018.33150684932 2018.33150684932
"SRR11904454" 2018.49863013699 2018.49863013699
"SRR16644552" 2019 2019.08493150685
"SRR8172100" 2018.08767123288 2018.08767123288
"SRR8903137" 2018.00273972603 2018.00273972603
"SRR11698258" 2019 2019.08493150685
"SRR11698444" 2019.32876712329 2019.41369863014
"SRR11904259" 2018.83287671233 2018.83287671233
"SRR16643897" 2019.24657534247 2019.32876712329
"SRR16644635" 2019.66301369863 2019.74794520548
"SRR16999593" 2019.74794520548 2019.8301369863
"SRR16999453" 2019.8301369863 2019.91506849315
"SRR16643984" 2019.49589041096 2019.58082191781
"SRR16644689" 2019.32876712329 2019.41369863014
"SRR16999396" 2019.66301369863 2019.74794520548
"SRR11904641" 2018.41643835616 2018.41643835616
"SRR11904018" 2018.33150684932 2018.33150684932
"SRR11904904" 2018.83287671233 2018.83287671233
"SRR16999589" 2019.74794520548 2019.8301369863
"SRR11904430" 2018.58356164384 2018.58356164384
"SRR11904489" 2018.91780821918 2018.91780821918
"SRR16999697" 2019.91506849315 2019.99726027397
"SRR16644622" 2019.66301369863 2019.74794520548
"SRR16644300" 2019.41369863014 2019.49589041096
"SRR11699151" 2019 2019.08493150685
"SRR11904428" 2018.58356164384 2018.58356164384
"SRR11904456" 2018.49863013699 2018.49863013699
"SRR16644330" 2019.08493150685 2019.16164383562
"SRR16644698" 2019.16164383562 2019.24657534247
"SRR16999648" 2019.91506849315 2019.99726027397
"SRR16643918" 2019.24657534247 2019.32876712329
